order_id,customer_id,order_date,status,product_id,quantity,price
4bab1030-cdc1-4cb7-890e-5b6b316095de,8d6b7c80-0f5f-419b-9192-cc2c8a5e3817,2025-02-13,SHIPPED,99935dca-a400-47c1-9c07-10c6a7999fec,5,257.33
fbaf3721-f391-4bd1-9d2b-35b4d21d5d6d,06035cfe-b7b1-4909-9fbd-3d982384a879,2025-02-23,SHIPPED,e54e4923-3c9c-4aa1-ae52-981c701dc1de,5,395.93
bffbe0f1-9b44-4026-96cb-db8fc04ee573,0b74ddc9-783c-4e50-9391-943470652fd5,2025-02-02,CANCELLED,7d6e298b-63dc-44e4-b52a-aed565d9633f,4,174.89
d72d4816-a24c-4a13-b7ee-0158082f1c8a,8f864e41-770d-42fa-a775-4900ea6ee131,2025-04-01,CREATED,f07f35f1-346d-426c-929d-d38d07853263,1,182.88
f8ac28cb-e841-434c-bcda-25e72fe66115,68e72205-8a4b-4132-8d99-4bbeb1713dd6,2025-01-28,DELIVERED,d7695b5b-f547-4f84-9b9a-c3a5905db06d,1,327.85
c60c7404-e0c8-4e2d-abac-f6e015fdd574,5bb177f4-598e-4e85-bc7a-978765403e14,2025-03-16,CANCELLED,69c1c730-a326-44f8-95ec-7a24c5947644,2,408.61
567ce3d3-850f-48f1-bf98-7eada909181f,f730072c-ced9-46aa-b36f-0e17ee592948,2025-04-04,CANCELLED,6c8b3024-e027-43d3-b579-0e030667aa35,5,25.77
3beaa0af-b36f-4cdc-b555-f972d6a48806,cbd271c8-4f17-46dc-9dd0-f1de641b1012,2025-01-26,CREATED,d35f8c11-7c35-45cc-9db4-5f3c25174f44,5,267.81
e0f56158-9e84-4f7a-bc87-a471bcbd0b6c,82ae9499-925e-48b1-980a-f766f214e7a7,2025-02-05,DELIVERED,5b7130b4-6c2d-4311-9edd-0d4cec4276c8,1,53.27
dfa6f947-cf44-4d47-bd28-938819c436be,f99e22aa-2b45-496d-a088-2aa2db30e83e,2025-01-28,CREATED,d1bf275f-d1bd-4e12-ba98-25af623f9b86,3,467.39
9397983f-a3f4-4e36-aab3-d2b96fe14d32,1f02dbc1-32a2-4b62-8e3e-30e55e3ca7a9,2025-01-21,DELIVERED,f87dfbc7-fb22-4aa8-a4e1-8b3f669e6324,2,56.02
d2411099-8a6b-448d-afc6-d762b0b1c9a3,308cd504-4c5e-480e-8271-9ac058545216,2025-03-08,SHIPPED,51b25a11-8cab-4f74-ace2-656619284393,4,193.15
5f65d8ac-785d-4986-921d-b70ed05cd93e,86f19be3-de61-4ecd-9256-b3ccba5cd0d0,2025-01-14,DELIVERED,58be9537-4cd7-43c6-b03f-4928ac0a765c,5,475.08
dd221bf5-70b0-4f2a-b355-54fb1ec16221,7b7f56e0-1ec1-4cff-93a6-d4f49a7231a6,2025-01-15,SHIPPED,9e3fbe11-d0c3-40f4-aae0-3ffd97be2a76,3,256.81
921e01be-c2ec-42e3-b2ee-80ba569153b8,1311a4ea-268e-42b4-abaa-e65ad4029ad8,2025-04-01,SHIPPED,35d8b801-e419-4dff-a881-7fcda71c6578,1,496.09
ca686797-84d9-450a-938f-33d33891845d,886608ae-90a7-4587-87cb-dfb5f21406d6,2025-03-09,CREATED,64a4ae75-4cf2-4e1c-aa31-76807603d4fb,4,453.36
c484dfeb-a077-4da8-a48b-f0dc0f778dbd,7bba2cb0-931a-4e2e-8b8e-d398b8e5337b,2025-04-08,CANCELLED,20fa8cc4-12dc-4f8f-904f-580887cb636b,3,365.68
11387c9f-9b71-4db6-ae13-a66c851d9939,5ecf64b4-192c-45b6-bdcf-d2267cd44f67,2025-01-01,SHIPPED,bf68e2e1-f7f4-40df-b514-6cc69d5392ca,3,145.09
467174f0-d9f5-4970-8b05-292a1b2da018,d0725921-89ea-46e9-9f54-37b55bb975d1,2025-01-23,CANCELLED,4a833161-7688-45ce-baba-7bbae783f3b8,1,398.63
eadfabcc-e22e-469c-98e9-c76f214b1146,2b57bd6c-c6e3-43a7-981f-5a477bd03bde,2025-02-26,CREATED,c05f8d28-f18c-47dc-8ec4-54c84a798772,3,427.2
a6605fb7-8ef5-499a-92d6-eb17e56902de,9c830d29-56a8-4f75-8637-e31ba808329c,2025-03-31,DELIVERED,0a983d54-0996-4bcb-98ec-89d63f3bcb8f,2,318.51
26c5e8b0-b5bb-4924-92b5-6df298fbf8e8,fc6043a9-0606-461e-9284-836bf957e891,2025-03-19,SHIPPED,359c60dc-0cc2-456e-b8b1-cdac5f8f7550,4,474.46
18808744-4ba8-40c0-91ef-1d20a9cb681d,d70a6a41-24f4-4091-acd3-405d93f8e45a,2025-02-19,SHIPPED,28a7f59b-e549-483d-baa2-c95b13d3b324,2,197.05
f6733a8d-6526-4218-8fff-dacc4aaecd58,527062cd-bd18-4c45-b445-c60eeb954625,2025-02-02,SHIPPED,404dfae5-9714-4f27-9a8f-b7fc14d43d04,4,25.71
a5c2912a-f9d8-40d1-ba27-a6d81e9a8ef9,24736eff-25ba-4d1a-8cc7-2b7f75fafe69,2025-04-01,CANCELLED,26c03557-9498-4210-a0b1-22779b7da1b3,4,486.99
0328cec6-6f7d-4a12-b98b-3574c520f558,84a9b770-2f62-424d-895b-5fa288f3436e,2025-03-23,CANCELLED,2b4a36fe-e1de-4518-b0d6-09b065475a49,4,109.86
383cf880-029c-4f84-a165-a5c51f9caf41,d24c4f74-9f59-48a3-8fa1-53f46044bda6,2025-01-16,DELIVERED,853a8e2b-958e-4416-8609-be6ffe05e10d,5,273.32
a45b7599-fdae-4659-aefa-b453316f4108,b7167fea-a3ce-4a5e-9894-b3d7debcbcb2,2025-03-13,DELIVERED,96ec9e02-864b-4fb6-8e20-3747ce2e6931,4,404.52
63789928-3b8e-4942-baf5-9897d2966eb7,8baaeb77-4e7c-46ac-92b1-eed84bf508a7,2025-02-16,DELIVERED,341207db-ba59-450c-9615-9c49448a869b,1,404.58
401b0f64-f5e2-4600-a041-25776ac59e8e,94392c02-b938-4bbd-aa98-93ef14f5a452,2025-02-21,CANCELLED,eadbdfff-42a1-46b3-943a-a67df6d221a9,5,84.6
a3eaf870-0a18-4132-8f28-04db6dd8f02a,738de5bd-289b-47dd-8b16-c47f9a93f8f2,2025-03-28,DELIVERED,b5088028-9b22-4f13-b003-9023c3d21b08,5,489.68
